,forum_text,sentiment_score,negative
19,"She's great for herself maybe, but not for her team.  Also takes a massive amount of babysitting from the healers just to keep her in a mech more than a few seconds due to her massive hitbox and facetanking requirements",1,FALSE
20,OR we can simply increase the cooldown between each blink or add more spread (;,1,FALSE
21,I'm lvl 51 and I'm not smurf: I think it should be lvl 50 or maybe lvl 75.,1,FALSE
22,"Bastion has a special voice line during the uprising event for his ultimate, I am not sure why they haven't put it on the Null sector skin. :(",1,FALSE
23,"All roles are important. Its the fact, which ive said many times, you have insta lock dps who cant hit he broad side of a barn or go off 1 v 6 and die. Those are the problem with people who play dps. I had one game. We were defending and I was playing zenyatta. We had an insta lock reaper on the team which is fine because he is awesome to toss a heal orb on and let go to town and wreck. Well not this reaper. For example in the match, we had a winston jump the back line where I was. Reaper was coming from spawn so I tossed a heal orb on him, discorded the winston but couldn't hit him because he put his shield down. I turn back to my team to help with whats going on in the front lines with both winston and reaper in my sight lines. A kill comes up in the kill feed with the enemy winston killing the reaper. Even the winston in chat said ""......"". No reason he should have lost 1 v 1. These are the types of people who should not be playing dps in comp. If you wanna play and practice a dps, go to qp.Ive had games as zenyatta this season to where I would have 5 golds. There is no reason I should be out dpsing reapers, junkrats, pharahs, and even one game we had a bastion the whole game with the same person playing him.",1,FALSE
24,Sadly this is the truth,0,FALSE
25,I dont get how when there are changes its 2-3 things max each patch. Then its months to correct the changes if the changes were not right.Other Blizz games like Diablo 3 (thats doesnt have the resources and man power that OW has) have dozens and dozens of changes each patch.And the patches are often. They dont take months to come.,-1,TRUE
26,If some people are allow to used mouse and keyboard shouldn't everyone have the chance as well?,1,FALSE
27,Yes.,1,FALSE
28,Don't you still have until the 1st to possibly get it?,1,FALSE
29,"I give up! I'm hoping those Blizzard World skins are only 1000 credits each. I'm quitting till the next event, adios.",-1,TRUE
30,"I don't really think it was about her ultimate being unfair; more about it being less fun to play against and promoting a bad, broken playstyle.All that needs to happen to fix Mercy now is to make res a channeled ability and to fix its bugs. She is completely fine otherwise, from a Mercy player.Edit: And of course, the dislikes roll in for a perfectly reasonable response. Thanks Overwatch community.",1,FALSE
31,"Posted by TheReinhardtPosted by Benjihow about her ult only charges for dealing damage with her gun or assisting damage? not on healing? that would reward offensive/risky play from the mercy and definitely create a skill gap between good and bad playersthat would kill her unless they like halved the charge timeeh duh compensate as necessary, I am talking design wise",1,FALSE
32,"I've said it before, I'll say it again. All you had to do was change the metric for SR gains and losses from Players rezzed, to healing done. None of this ""Rework BS"" would have happened.",-1,TRUE
33,"When I thought his hitbox wasnt bad enough, then I watch this video. Holy crap thats just BS.",-1,TRUE
34,"Why does Blizzard keep treating Pharah like a second class citizen in the game?1. They canceled her  animated shortAnd no, that comic hardly makes up for it2. She has very few legendaries for one of the original heroesAnd not only that but they were low effort jobs, variations of her default skins. I wish Blizzard put an ounce of the effort they did for something like Sentai Genji, Cop Dva or Graffiti Tracer.3. Her new event voiceline is a slap in the face to Pharah fansIt's so short, low effort and more importantly UNRELATED to the event that it feels they reused some discarded voiceline they had lying around. 4. They gave her almost no personalityOk, I get it. She's supposed to be this stoic and heroic Captain America like character but at the moment all she's given in the game are ""mommy issues"" and ""wanted to join Overwatch"". How about defining something that's actually about her? She's an accomplished soldier, she'd probably have a lot of great stories to tell. She also flying in this high-tech armor. She could be an adrenaline junkie and seek that thrill by riding a bike outside of work. Give her something5. They couldn't even fix her voiceline interactions with MercyIt's been over a year since they said they would fix her voicelines interactions with Mercy, and  they're still not fixedhttps://us.battle.net/forums/en/overwatch/topic/20759151895?page=16. They said they had huge plans for herHalf a year ago""Pharah is pretty underrepresented too,” Kaplan continued, “but we have huge plans for her, so I’m not worried about her.https://www.polygon.com/2017/5/18/15655804/overwatch-jeff-kaplan-interview-pharah-symmetra-junkrat-roadhogMay 18, 20177. She is not that hard to design skins forJust as Blizzard put a lot of love and effort in DVa's skins (which are much harder to make since they include the mech too) so they should put some effort into Pharah's skins. The 60s and cop skins could just as easily have worked for PharahAnd here are some more references, just in case they lack inpiration (which I doubt):https://imgur.com/a/c9f6h",-1,TRUE
35,Don't forget the broken voice interaction that they said they were going to fix more than one year ago(topic with videos and dev reply):https://us.battle.net/forums/en/overwatch/topic/20759151895?page=1,-1,TRUE
