"","X.link.","X.title.","X.time.","X.text."
"26","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017","2017-11-16 22:34:00","Hi everyone, We've seen a heavy influx of conversations revolving around recent hero balance updates, especially those revolving around Mercy. In an effort to consolidate feedback and create a steady location for users to share their impressions or opinions, please use this thread. MercyCaduceus StaffIncreased visual readability of Mercy’s healing and damage boosting beamsResurrectCast time increased from 0 seconds to 1.75 secondsMercy’s movement speed is now reduced by 75% while castingCan now be interrupted when Mercy is knocked back, stunned, or hackedValkyrieWhile active, Resurrect no longer has a cast timeWhile active, casting Resurrect does not reduce Mercy's movement speedDeveloper Comments: We feel that Mercy’s recent rework has been successful, but her Resurrect ability still feels too strong and frustrating to play against. Now that it has a cast time, enemies are more able to counter the ability. However, Resurrect will cast instantly when Valkyrie is active. This should make her feel powerful when she transforms on the battlefield.We appreciate your feedback, as it will assist us and provide insight on improving your Overwatch experience. Thank you."
"27","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"My thoughts on Mercy's current state.1) The cast time is fine, with room for adjustment.*Respawning vs. Resurrecting has issues.-i.e. your team's mercy resurrecting you or another team mate who is near the end of there respawn cooldown, respawning at ""base"", and the rez still going off and going on cooldown. (my personal big issue with this)*Possible solution to this-pause respawn timer/prevent it from going out while Mercy is resurrecting target player-reset Mercy's resurrect if target player respawns before resurrect takes effect2) The non-reset to GA when ulting is dandy. No problems have been had (by me at least.)3) The Movement speed reduction seems sorta harsh, and if the patch notes truly didn't mention it then that's a problem, but my experience with it as of this time is neutral."
"28","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"The -75% movement penalty is completely redundant as Mercy has to stay within 5 meters for about 2 seconds to rez the target anyways.It's needlessly punishing.If keeping both is the plan:PLEASE MAKE REZ CANCEL-ABLE!!!If you'd like more feedback or suggestions, check out my post on the PTR forums here:https://us.battle.net/forums/en/overwatch/topic/20759330227#post-9EDIT: Cut down the post."
"29","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"well the game is a lot less frustrating now she's been dealt with. i guess now you might aswell go back to 1.0. it'll keep the peace and we will never have to deal with that abomination again."
"30","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"wp blizzard, had me stop playing the game. Next time don't bother reworking a totally fine hero to nerf her to !@#$ then"
"31","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"#OldRezBestRez! But please. I think a good bit of people agree, we would like 1.0 Mercy back.Thank you! :D"
"32","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"REVERT!That is, revert the healing and damage beam. They were better before."
"33","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"I'd be more than happy to provide more constructive feedback to you guys if I felt that all the constructive feedback that was given before had any impact at all.At this point many feel that this is where their Mercy feedback goes to be forgotten.This entire rework has been a PR nightmare, and honestly you've done a very poor job of managing it.I get it. Speaking to people and getting backlash for your feedback is hard. Believe me, I'm a doctoral student and I have to get patient feedback all the time. People get passionate and comments can get heated. But it's necessary if you want your community to feel like they matter and have a voice. I feel like right now, communication is extremely poor between the developers and the Mercy community. You've never changed a hero to this degree, so I'd advise you to step up your efforts to reach out to the community."
"34","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"11/16/2017 02:40 PMPosted by Mercy#OldRezBestRez! But please. I think a good bit of people agree, we would like 1.0 Mercy back.Thank you! :Dyeah we do. but im happy now that she's not as powerful as she was. the first time since i started playing that i felt like giving up because of how stupidly overpowered mercy was."
"35","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"11/16/2017 02:34 PMPosted by Tom PowersHi everyone, We've seen a heavy influx of conversations revolving around recent hero balance updates, especially those revolving around Mercy. In an effort to consolidate feedback and create a steady location for users to share their impressions or opinions, please use this thread. [url=""https://playoverwatch.com/en-us/heroes/mercy/""]Mercy[/url]Caduceus StaffIncreased visual readability of Mercy’s healing and damage boosting beamsResurrectCast time increased from 0 seconds to 1.75 secondsMercy’s movement speed is now reduced by 75% while castingCan now be interrupted when Mercy is knocked back, stunned, or hackedValkyrieWhile active, Resurrect no longer has a cast timeWhile active, casting Resurrect does not reduce Mercy's movement speedDeveloper Comments: We feel that Mercy’s recent rework has been successful, but her Resurrect ability still feels too strong and frustrating to play against. Now that it has a cast time, enemies are more able to counter the ability. However, Resurrect will cast instantly when Valkyrie is active. This should make her feel powerful when she transforms on the battlefield.We appreciate your feedback, as it will assist us and provide insight on improving your Overwatch experience. Thank you.Please remove the 75% movement speed reduction, it's the main thing people have been saying before the nerf went live that should be removed &gt;.&lt;There is literally no reason to restrict her mobility during her cast time when she already has to be standing on top of her target to resurrect themEDIT: I got out of a match half an hour ago, under threat of being reported because I wouldn't suicide res. This is acceptable now?"
"36","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"This could've ALL been avoided, if we had kept 1.0 with a few tweaks. The only problem with her was hiding in spawn on 2CP maps to Rez. That was a map design issue, not Mercys fault. Her Rezzing from behind walls just needed a simple LoS tweak. ANY good Mercy player wouldn't hide even when she had multiple Rez. They would be actively trying to keep their team alive, weaving in and out of the fight.Instead, we landed in this mess."
"37","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"Revert her.Killing Rez is not the answer."
"38","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"It's started already."
"39","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"If you removed Rez as an ability and gave her more Rezs available during Valkyrie, I'd be happy. You could even give her another E ability so she's more active during team fights, but this current version of her isn't very fun.If you need time to rework her some more that's cool, but if I had to ask for immediate changes it'd be removing the slow effect."
"40","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"The game feels like it did before, it's fun to play and matches aren't endless back and forth kill the other mercy, it was time. If it's one critique I'll have is that you need to remove ressurect from E and give the power to her ultimate or design a new E for her(damage % reduction ability on cast would be good).  The Mercy players obviously don't like this nerf and if you make ressurect too easy to cast and Mercy is in every match again you will have alienated everyone who isn't a Mercy player.It's okay to backtrack sometimes and a complete revert isn't needed but Ressurect has no place in this game as a regular ability."
"41","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"Look, another ""Feedback"" megathread with the only utility to remove the spam to the forum and then they will ignore everything we post."
"42","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"11/16/2017 02:34 PMPosted by Tom PowersHi everyone, We've seen a heavy influx of conversations revolving around recent hero balance updates, especially those revolving around Mercy. In an effort to consolidate feedback and create a steady location for users to share their impressions or opinions, please use this thread. [url=""https://playoverwatch.com/en-us/heroes/mercy/""]Mercy[/url]Caduceus StaffIncreased visual readability of Mercy’s healing and damage boosting beamsResurrectCast time increased from 0 seconds to 1.75 secondsMercy’s movement speed is now reduced by 75% while castingCan now be interrupted when Mercy is knocked back, stunned, or hackedValkyrieWhile active, Resurrect no longer has a cast timeWhile active, casting Resurrect does not reduce Mercy's movement speedDeveloper Comments: We feel that Mercy’s recent rework has been successful, but her Resurrect ability still feels too strong and frustrating to play against. Now that it has a cast time, enemies are more able to counter the ability. However, Resurrect will cast instantly when Valkyrie is active. This should make her feel powerful when she transforms on the battlefield.We appreciate your feedback, as it will assist us and provide insight on improving your Overwatch experience. Thank you.YOU IGNORED 164 PAGES OF PEOPLE WARNING YOU THAT THESE CHANGES WOULD KILL THE CHARACTER.I just got out of a match where I was yelled at for playing ana to play mercy, then got my !@# repeatedly handed to me because surprise surprise, it's not that hard to kill a character that stands still for 2 seconds, even if they are smart about when they rez in competitive.Why would I believe you this time?"
"43","https://us.battle.net/forums/en/overwatch/topic/20759545938","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"Another forum for feedback to never be responded too/ignored. But that won't stop me from giving it.The cast time is a welcome addition that helps give diversity to Mercys kit, making resurrect feel powerful in ultimate. The slowdown is counter intuitive to her mobility and her new core identity as a highly mobile hero with heavy constant healing.I say either lock Mercy to the ressurected target while she is casting so that she can still feel somewhat mobile and have a chance to dodge aroundOr remove resurrect as an E, up the charges in valkryie, and give us an upward mobility ability on E that could be replaced when she uses Valkryie.No character who's core identity is ""high mobility"" should be subjected to such a harsh slowdown. It just doesn't make sense."
"62","https://us.battle.net/forums/en/overwatch/topic/20759545938?page=188#post-3741","[Feedback Thread] Mercy Updates - Nov 16, 2017","2017-12-22 19:51:00","And I would like to ask Blizzard how ruining Mercy is going on."
"63","https://us.battle.net/forums/en/overwatch/topic/20759545938?page=188#post-3741","[Feedback Thread] Mercy Updates - Nov 16, 2017",NA,"12/22/2017 11:42 AMPosted by sh<U+01DD>nanigansBTW another basic misconception that needs cleared up is that when people said ""die on point"" they didn't mean right now they just meant don't die somewhere else.Thank youI can remember out of that 400 hours on Mercy there was ONE time I asked someone to actually die, and that was a very unique circumstance where the rein was the last one alive of the team after I took cover for an ult push and he was desperately stalling but I had the chance to reset the whole team.Hell on your point half the time I was yelling at my team to LIVE. To stick to that point and hold out as long as they bloody well can. The other half I was just informing I had ult and saying not to retreat if we get picked first"
"64","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes","2017-12-18 22:53:00","Hi all,We’re making a change on our PTR servers shortly (no patch required!), that reworks some of how our heroes move and accelerate. This was originally done to fix bugs on a couple heroes, but the changes are systemic and affect all Heroes.   Specifically, movement on the ground is much more consistent. Going up/down inclines will no longer affect the Hero’s speed.  Previously, inclines could either make you move slightly faster or slightly slower, depending on the circumstances. Inclines will also no longer cause a small amount of strafing movement when moving diagonally on them.   A side effect of these changes is characters will now have slightly better air control.   For example, Winston previously was not able to easily make small adjustments to his flight path during his Jump Pack leap, but now he should be able to do that, and it is also noticeable on many of the other Heroes that are often in the air.We think these changes will overall be great improvements but there might be some unintended side effects that we’d love your help finding on the PTR!Thanks!"
"65","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"I can't wait until one of these unintended side effects happens to effect Genji and the forum goes crazy for the next week."
"66","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Will this allow for speed bursts out of certain moves?I guess I'll go test..."
"67","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Thank you!"
"68","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"12/18/2017 02:53 PMPosted by Jeff KaplanWe’re making a change on our PTR servers shortly (no patch required!), that reworks some of how our heroes move and accelerate.Will it affect Mei's freezing like how jumping no longer delays it anymore?"
"69","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"k"
"70","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"So super jump? Keeping it or letting it die with no word?"
"71","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Maybe this can also give us more custom game options? I am not sure how, but maybe we can change how you can control heroes in midair, etc. Honestly I think movement options could be very fun if there was an option in custom games to make you able to have 4 teams. Maybe you could nerf some heroes a ton in the options to nerf their movement a ton and they could be less controlled making 4 teams more balanced. I don't want to gett too off topic, just wanted to give some feedback. This is a good idea, as I have honestly always felt movement was a little off in Overwatch and I think these changes sound great!"
"72","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Will this improve air control when booped?"
"73","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Alright thanks for the updateAlthough I feel we could use the pet for so much more. Maybe testing radical ideas and see what stick, making it a core part about balance because ik you guys test multiple things but the finished product is what goes on ptrPerhaps we could see the different options you guys chose from when you make a change and we can give feedbackI'm sure if this was what we did for the ptr a lot more players would play"
"74","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"So no more moira sick jumps with her vanish ability?"
"75","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Buff Mei Popa"
"76","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"12/18/2017 03:03 PMPosted by idSurgeWill this allow for speed bursts out of certain moves?I guess I'll go test...Assuming its already implemented on PTR, the Moira/Doomfist type of boosts are still there."
"77","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Will this affect Lucio's Boop? It's already incredibly frustrating how enemies can be standing on an edge and have enough air control to get back to solid ground because they weren't moving towards the pit of doom when Lucio hits them. How about heroes with self-slows like Reinhardt, D.Va, and Orisa not being pushed as far, even if they impose the self-slow in midair? These heroes don't suddenly become heavier because they're moving slower, but Lucio and other knockback effects can't push them around."
"78","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"Does this mean people will be able to wiggle and waggle mid air?The whole reason I like how it is now is because when people jump, there's a definite arc path they will take, and I use that to exploit their bad habits by killing them when they jump.With this change, and the way the winston section was worded, you're saying people will now be able to change their direction mid air?I don't think I like the way this sounds...I guess I'll have to go test it out."
"79","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"10/10 post, so glad we got told about this in advance. Should prevent the million ""OMG &lt;X&gt; moves different! NERF!"" threads from cropping up."
"80","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"But no comment whatsoever on the obvious ticking time bomb that is the Mercy feedback thread. Thanks."
"81","https://us.battle.net/forums/en/overwatch/topic/20760766446","PTR Testing - Movement Changes",NA,"12/18/2017 03:45 PMPosted by WhateverAlexBut no comment whatsoever on the obvious ticking time bomb that is the Mercy feedback thread. Thanks.Ticking time bomb to what?People love to put sensationalist titles on things. ""If we don't hear a response, it's only going to get worse""Nothing's getting worse. You're in a room of mirrors yelling at yourselves thinking the world is burning down, when nothing is going to happen after any sort of time period.Relax."
"100","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes","2017-12-20 22:45:00","12/19/2017 04:24 PMPosted by RomanovaI don't know if it's a bug or not (hoping so) but did have some problems while testing it out in the practice range. While using GA and bunny-hopping, I'd occasionally lose momentum entirely and drop like a stone. It didn't happen every time, which gives me hope that it's a bug, but I was working off muscle memory from playing current live Mercy (she's a damn chore to play now, but sadly my team still often needs a healer), so it wasn't an error in cancelling GA that caused it. What usually caused the spring-forward just made me stop. Has anyone else experienced this?Well, I always hold one of my WASD keys while GAing, and when bunny-hop gliding and I did not experience any problems. Perhaps the behaviour is different and you drop like a stone if you do not hold one of the WASD buttons? Worth trying?"
"101","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"I am Bastion OTPI operated Bastion with PTR but it is very difficult to operate Bastion as usualEspecially rocket jumping which is one of Bastion techniques is fatalAs long as I manipulated Bastion it has become very difficult to go to the position I was able to go through as I have been using rocket jumpingI firmly oppose this changeI want to operate and play easily the usual BastionFinally I am Japanese, so I'm not good at EnglishI use Google Translate"
"102","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/18/2017 02:53 PMPosted by Jeff KaplanHi all,We’re making a change on our PTR servers shortly (no patch required!), that reworks some of how our heroes move and accelerate. This was originally done to fix bugs on a couple heroes, but the changes are systemic and affect all Heroes.   Specifically, movement on the ground is much more consistent. Going up/down inclines will no longer affect the Hero’s speed.  Previously, inclines could either make you move slightly faster or slightly slower, depending on the circumstances. Inclines will also no longer cause a small amount of strafing movement when moving diagonally on them.   A side effect of these changes is characters will now have slightly better air control.   For example, Winston previously was not able to easily make small adjustments to his flight path during his Jump Pack leap, but now he should be able to do that, and it is also noticeable on many of the other Heroes that are often in the air.We think these changes will overall be great improvements but there might be some unintended side effects that we’d love your help finding on the PTR!Thanks!Pat your teammates on the back everybody. We got another Buff to cause the Rube Goldberg effect which will affect all heroes. It’s gonna be AWESOME."
"103","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/20/2017 03:59 PMPosted by ReVoLuTioNI am Bastion OTPI operated Bastion with PTR but it is very difficult to operate Bastion as usualEspecially rocket jumping which is one of Bastion techniques is fatalAs long as I manipulated Bastion it has become very difficult to go to the position I was able to go through as I have been using rocket jumpingI firmly oppose this changeI want to operate and play easily the usual BastionFinally I am Japanese, so I'm not good at EnglishI use Google Translate<U+3088><U+304F><U+51FA><U+6765><U+307E><U+3057><U+305F>. :)"
"104","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/18/2017 08:19 PMPosted by Karmotrine12/18/2017 08:16 PMPosted by Catbus...I would love to know what actual modern military trains its soldiers to spend every living second jumping up in the air, zigzagging back and forth, or both.You completely took what I said backwards.You missed that I did so intentionally.It's pretty stupid that people can leap around like a cricket indefinitely in-game when people trying to do this in reality, even soldiers in peak physical condition, would get exhausted in under 30 seconds, and also would never even remotely be able to aim their weapons under such conditions. A really good shooter game would reward players for doing the things a highly skilled warrior would do and doing them well, not for exploiting the ways that the game is different from reality."
"105","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"These changes ruined Lucio's wallriding again. His kit is the only one built entirely around free movement, yet how do they keep pushing out these movement type changes without testing them out on him first? I hope Lucio players won't get some last-minute bandaid to try to fix their wallriding again, like they did for the World Cup patch, which he still has not recovered from. Every patch that comes out puts the other supports in better places, and just dumps on Lucio more and more."
"106","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/18/2017 03:36 PMPosted by GazeWill this affect Lucio's Boop? It's already incredibly frustrating how enemies can be standing on an edge and have enough air control to get back to solid ground because they weren't moving towards the pit of doom when Lucio hits them. How about heroes with self-slows like Reinhardt, D.Va, and Orisa not being pushed as far, even if they impose the self-slow in midair? These heroes don't suddenly become heavier because they're moving slower, but Lucio and other knockback effects can't push them around.Super frustrating that one of the hardest kills to get in the game for an already difficult to kill with hero gets so stupidly countered by inane things that shouldn't counter it. These characters adjustingafter being booped and just losing all momentum makes no sense and feels so dumb."
"107","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/20/2017 08:57 PMPosted by Candi12/18/2017 03:36 PMPosted by GazeWill this affect Lucio's Boop? It's already incredibly frustrating how enemies can be standing on an edge and have enough air control to get back to solid ground because they weren't moving towards the pit of doom when Lucio hits them. How about heroes with self-slows like Reinhardt, D.Va, and Orisa not being pushed as far, even if they impose the self-slow in midair? These heroes don't suddenly become heavier because they're moving slower, but Lucio and other knockback effects can't push them around.Super frustrating that one of the hardest kills to get in the game for an already difficult to kill with hero gets so stupidly countered by inane things that shouldn't counter it. These characters adjustingafter being booped and just losing all momentum makes no sense and feels so dumb.Have you ever played other games with actual good air strafing like Team Fortress 2? In games like that it takes skill air strafing to get back on ground after being bumped off from explosives and things like Pyro's airblast which is basically like Lucio's boop. I thought it was stupid that once you got booped you had almost no control in the air to try and save yourself."
"108","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"""Previously, inclines could either make you move slightly faster or slightly slower, depending on the circumstances.""But now we decided that logical movement patterns don't make sense, so we're going to change it.."
"109","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"The only character who should be seeing any change to aerial momentum/control (if any, I'm against any aerial changes period), is Pharah. As she's the only character in the game with a ****ing hover jet, so it actually makes sense for her.Bunny hopping/jump spamming is a bad habit that works well against lower skill players, but is a liability in a high skill environment, it should remain as punishable as it currently is, or you'll see...a lot more complaint and ""nerf this hero!"" threads here than you ever have lol."
"110","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"Is there anyway you guys will adjust the movement speed for walking backwards?As it stands right now, if I want to run away from an enemy I have to turn my back to them and hope they don't kill me"
"111","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"IM NOT FEEL ANY FIFFRENT"
"112","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/21/2017 07:35 AMPosted by ZelerosIs there anyway you guys will adjust the movement speed for walking backwards?As it stands right now, if I want to run away from an enemy I have to turn my back to them and hope they don't kill mePersonally I like the way the current live backwards movement speed punishment works. If you turn to escape you should have to put your back to them to try to make a speedier getaway while someone else covers for you. Otherwise you can just back up and freefire at the enemy."
"113","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"The change does affect Moira jumps slightly... I'd call it a net neutral change? Vertical jumps (which are more useful) have become easier while jumping a long gap has gotten a little bit trickier.(profile peekers: I only play Moira on PTR)"
"114","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"Soooooooooooooo...A Junkrat buff?"
"115","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"thx for buffs cant wait to seem them in action"
"116","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/18/2017 02:53 PMPosted by Jeff KaplanHi all,We’re making a change on our PTR servers shortly (no patch required!), that reworks some of how our heroes move and accelerate. This was originally done to fix bugs on a couple heroes, but the changes are systemic and affect all Heroes.   Specifically, movement on the ground is much more consistent. Going up/down inclines will no longer affect the Hero’s speed.  Previously, inclines could either make you move slightly faster or slightly slower, depending on the circumstances. Inclines will also no longer cause a small amount of strafing movement when moving diagonally on them.   A side effect of these changes is characters will now have slightly better air control.   For example, Winston previously was not able to easily make small adjustments to his flight path during his Jump Pack leap, but now he should be able to do that, and it is also noticeable on many of the other Heroes that are often in the air.We think these changes will overall be great improvements but there might be some unintended side effects that we’d love your help finding on the PTR!Thanks!I made a post in the forums about living in Puerto Rico and not being able to play Overwatch. I’d appreciate it if you checked it out. Thanks :)"
"117","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/18/2017 02:53 PMPosted by Jeff KaplanHi all,We’re making a change on our PTR servers shortly (no patch required!), that reworks some of how our heroes move and accelerate.I thought you were talking about adding acceleration from 0, like in literally every other game.If you spam ADAD fast enough the character and the hitbox becomes just a blurry mess even on 240Hz."
"118","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"It's unlikely that anyone's opinion here will change anything on the PTR, never has done but I feel like I should input that I detest these changes. The leniency you get and evasive actions you can perform as Pharah and Genji is too much. Heroes that, might I add, for sure did not need buffs. Why allow people to be less punished for jumping in a direction? You jumped there, you land then, simple as. I don't want to see, he jumped there and circle strafed 327 degrees to avoid the several bullets i'm trying to put into him. Unnecessarily removing a game element that people have gained muscle memory for for over a year now is downright stupid."
"119","https://us.battle.net/forums/en/overwatch/topic/20760766446?page=8#post-160","PTR Testing - Movement Changes",NA,"12/20/2017 09:02 PMPosted by DougieJones12/20/2017 08:57 PMPosted by Candi...Super frustrating that one of the hardest kills to get in the game for an already difficult to kill with hero gets so stupidly countered by inane things that shouldn't counter it. These characters adjustingafter being booped and just losing all momentum makes no sense and feels so dumb.Have you ever played other games with actual good air strafing like Team Fortress 2? In games like that it takes skill air strafing to get back on ground after being bumped off from explosives and things like Pyro's airblast which is basically like Lucio's boop. I thought it was stupid that once you got booped you had almost no control in the air to try and save yourself.If you're using TF2 as an example, they've pretty much removed any strafing to safe yourself from an airblast off an edge for the exact same reasons, they were out of position and punished, they deserve that death, no matter how good they are at strafing."
"120","https://us.battle.net/forums/en/overwatch/topic/20760826814","Which Overwatch Characters Are Neglected The Most?","2017-12-22 19:50:00","When it comes to buffs/bug-fixes."
